lang,model,f1
en,qwen2.5-7b,0.5168
en,mistral-7b,0.5446
en,gpt4o_o200k,0.5384
hu,qwen2.5-7b,0.5073
hu,mistral-7b,0.5110
hu,gpt4o_o200k,0.5042
tr,qwen2.5-7b,0.4756
tr,mistral-7b,0.4396
tr,gpt4o_o200k,0.5274
ru,qwen2.5-7b,0.4266
ru,mistral-7b,0.4774
ru,gpt4o_o200k,0.3815
de,qwen2.5-7b,0.5384
de,mistral-7b,0.5740
de,gpt4o_o200k,0.5617
sv,qwen2.5-7b,0.5837
sv,mistral-7b,0.6149
sv,gpt4o_o200k,0.5888
bn,qwen2.5-7b,0.7619
bn,mistral-7b,0.2857
bn,gpt4o_o200k,0.8095
fa,qwen2.5-7b,0.1998
fa,mistral-7b,0.1086
fa,gpt4o_o200k,0.1076
ca,qwen2.5-7b,0.5135
ca,mistral-7b,0.5644
ca,gpt4o_o200k,0.5099
